,tag,title,updated_at,link,address,postal_code,city,country,website,filink_id
121,uob,United Overseas Bank (UOB),2021-08-26 00:00:00,https://www.banktrack.org/bank/uob,"80 Raffles Avenue, UOB Plaza 1",48624,,Singapore,http://www.uobgroup.com/,951
122,bank_negara_indonesia,Bank Negara Indonesia (BNI),2021-07-20 00:00:00,https://www.banktrack.org/bank/bank_negara_indonesia,Jl. Jenderal Sudirman Kav. 1,10220,Jakarta,Indonesia,http://www.bni.co.id,976
123,bank_rakyat_indonesia,Bank Rakyat Indonesia (BRI),2016-09-07 10:58:13,https://www.banktrack.org/bank/bank_rakyat_indonesia,Jl. Jenderal Sudirman Kav.44-46,10210,Jakarta,Indonesia,http://www.bri.co.id/,977
124,idfc,IDFC,2021-07-26 00:00:00,https://www.banktrack.org/bank/idfc,"Naman Chambers, C-32",400 051,Mumbai,India,http://www.idfc.com,1592
125,otkritie_bank,Otkritie Bank,2016-10-31 17:15:11,https://www.banktrack.org/bank/otkritie_bank,2/4 Letnikovskaya St.,115114,Moscow,Russian Federation,http://www.openbank.ru,1593
126,banco_de_credito_del_peru_bcp_,Banco de Crédito del Perú (BCP),2021-04-08 00:00:00,https://www.banktrack.org/bank/banco_de_credito_del_peru_bcp_,"Calle Centenario 156, La Molina",12,Lima,Peru,https://www.viabcp.com,961
127,dz_bank,DZ Bank,2021-02-09 00:00:00,https://www.banktrack.org/bank/dz_bank,Platz der Republik,60265,Frankfurt am Main Hessen,Germany,http://www.dzbank.com/,231
128,bny_mellon,BNY Mellon,2021-04-13 16:04:20,https://www.banktrack.org/bank/bny_mellon,1 Wall Street,10286,New York,United States,https://www.bnymellon.com,990
129,us_bancorp,U.S. Bancorp,2021-03-04 00:00:00,https://www.banktrack.org/bank/us_bancorp,800 Nicolett Mall,55402,Minneapolis,United States,https://www.usbank.com/index.html,1423
130,suncorp,Suncorp,2016-10-31 17:15:11,https://www.banktrack.org/bank/suncorp,36 Wickham Tce,4000,Brisbane,Australia,http://www.suncorpgroup.com.au,1604
131,la_banque_postale,La Banque Postale,2016-04-01 12:09:52,https://www.banktrack.org/bank/la_banque_postale,"115, rue de Sèvres","115, rue de Sèvres",Paris,France,https://www.labanquepostale.fr,1605
132,allianz,Allianz,2021-05-10 00:00:00,https://www.banktrack.org/bank/allianz,Köninginstraße 28,80802,München,Germany,https://www.allianz.com,1606
133,bayernlb,BayernLB,2021-05-04 00:00:00,https://www.banktrack.org/bank/bayernlb,Brienner Straße 18,80333,München,Germany,https://www.bayernlb.com/internet/en/blb/resp/index.jsp,236
134,helaba,Helaba,2016-10-31 17:15:11,https://www.banktrack.org/bank/helaba,Neue Mainzer Straße 52-58,D-60311,Frankfurt am Main,Germany,https://www.helaba.de,1556
135,hsh_nordbank,HSH Nordbank,2016-10-31 17:15:11,https://www.banktrack.org/bank/hsh_nordbank,Gerhart-Hauptmann-Platz 50,20095,Hamburg,Germany,http://www.hsh-nordbank.com,1607
